feature,ic_mean,ic_ir,auc,score,abs_ic_mean,abs_ic_ir
X114,0.09108290585580388,0.5278865296414748,0.5392280824486047,0.9999999999999999,0.09108290585580388,0.5278865296414748
X196,0.08413441287242268,0.49201029054494794,0.5329316340961131,0.9182968389494166,0.08413441287242268,0.49201029054494794
X35,0.07268427335984905,0.4257339744024815,0.5293530620809178,0.8004884595701955,0.07268427335984905,0.4257339744024815
X202,0.058863698323424626,0.36726843257458963,0.5204326891093108,0.6569954246343115,0.058863698323424626,0.36726843257458963
X23,0.05538212027064179,0.3425915450819104,0.5255771831909564,0.6378366725489903,0.05538212027064179,0.3425915450819104
X222,0.05527367782642472,0.3402954132038367,0.5245358673326128,0.632575894398032,0.05527367782642472,0.3402954132038367
X94,0.05144476066971326,0.3269336106934444,0.5165993779162568,0.5775264923267927,0.05144476066971326,0.3269336106934444
X229,0.05083234473329076,0.3188278897473982,0.51727992893923,0.5711804200262389,0.05083234473329076,0.3188278897473982
X185,-0.06597172805420835,-0.3851370927780198,0.475778071623156,0.5701416137704073,0.06597172805420835,0.3851370927780198
X217,0.04840247065781735,0.2909082787090341,0.5244323318857235,0.5624249241191905,0.04840247065781735,0.2909082787090341
X40,0.04810437542015892,0.2967220026264667,0.5220145034905321,0.5566828746025618,0.04810437542015892,0.2967220026264667
X28,0.046928067394896356,0.30912197173261574,0.5175532317200803,0.543458361581556,0.046928067394896356,0.30912197173261574
X183,0.0466112753656897,0.3163249765545289,0.5156084693374894,0.5399205095158602,0.0466112753656897,0.3163249765545289
X143,-0.05830555583542469,-0.37774800286763305,0.47989139727760255,0.5339002819238734,0.05830555583542469,0.37774800286763305
X77,0.04713945371298682,0.2882584036654661,0.5176162679811905,0.5322623768795632,0.04713945371298682,0.2882584036654661
X57,0.04674524604464002,0.29766380022023153,0.5139900591736712,0.5243730248497892,0.04674524604464002,0.29766380022023153
X232,0.04336290499649319,0.2921265883510672,0.5126050966113388,0.49704602934485964,0.04336290499649319,0.2921265883510672
X58,0.0424347433430891,0.2643839719557552,0.5176842342767354,0.4906759557645096,0.0424347433430891,0.2643839719557552
X92,0.04180824504440792,0.289094312341447,0.512991416219579,0.4873746504237754,0.04180824504440792,0.289094312341447
X261,0.04136213913195503,0.272434495412813,0.5142263245000437,0.4785463315826257,0.04136213913195503,0.272434495412813
X22,0.041772675228210675,0.2668237464058811,0.5126981413669408,0.4727825388987528,0.041772675228210675,0.2668237464058811
X188,0.03885228911898216,0.2475860467739275,0.5176027706144792,0.45943060339727515,0.03885228911898216,0.2475860467739275
X56,0.04050565384411274,0.2841382374441019,0.5045614746022403,0.45056350061716083,0.04050565384411274,0.2841382374441019
X62,0.03702579745183403,0.25938444169546554,0.5131234556423072,0.4420055526359452,0.03702579745183403,0.25938444169546554
X169,-0.04948633907513046,-0.3057593593842159,0.4756964969524593,0.42601523118038714,0.04948633907513046,0.3057593593842159
X254,0.03529439365167999,0.24116626342646147,0.5143849689457115,0.4248440288409203,0.03529439365167999,0.24116626342646147
X38,0.032824324997693104,0.21755921312495816,0.5146853058246796,0.39713584187545464,0.032824324997693104,0.21755921312495816
X89,-0.04457153753300509,-0.26866324506875,0.4827651885125972,0.3969994286781728,0.04457153753300509,0.26866324506875
X219,-0.04040978751943367,-0.24789142980721163,0.4901892897349619,0.38334374060836707,0.04040978751943367,0.24789142980721163
X148,-0.04100479296746743,-0.2812398265209196,0.482409522979851,0.3827618608901297,0.04100479296746743,0.2812398265209196
X205,0.03337587389245667,0.21884705089247805,0.5082373459093017,0.38105185036105405,0.03337587389245667,0.21884705089247805
X179,0.03141579225972139,0.21809295734809173,0.5116477417115186,0.37981412421183086,0.03141579225972139,0.21809295734809173
X70,-0.041836901320843424,-0.2602406104374786,0.48255462990681824,0.3753484257953772,0.041836901320843424,0.2602406104374786
X208,0.03273291129935029,0.21131209112945604,0.5084637133766975,0.37345974639809143,0.03273291129935029,0.21131209112945604
X119,0.030471652352454928,0.19040662132073438,0.5132250330892543,0.3624852955683191,0.030471652352454928,0.19040662132073438
X134,-0.03714971779778921,-0.25560196537134033,0.4868738400031283,0.35873296610145067,0.03714971779778921,0.25560196537134033
X275,0.03210749619696856,0.1950052235344145,0.5078728406405876,0.35811940638615225,0.03210749619696856,0.1950052235344145
X243,0.030503544908407558,0.2126779404571422,0.5070417330422348,0.3568974018597935,0.030503544908407558,0.2126779404571422
X147,-0.03744518919313104,-0.24852297639982254,0.4850576364169107,0.35051543666099455,0.03744518919313104,0.24852297639982254
X139,0.029186262071297684,0.19886782796767674,0.5082858432138639,0.3447562249295386,0.029186262071297684,0.19886782796767674
X91,0.028591188577079908,0.1930089148283308,0.5096894481085785,0.3421207696417042,0.028591188577079908,0.1930089148283308
X90,0.029039539142236958,0.1985055336767616,0.5077552315278483,0.3420323551783826,0.029039539142236958,0.1985055336767616
X233,0.030407048654870955,0.20380120366696675,0.5041165425373433,0.34186141274475274,0.030407048654870955,0.20380120366696675
X272,0.02916550682518127,0.18545278511644092,0.506545973282816,0.3311046533652219,0.02916550682518127,0.18545278511644092
X152,-0.03451709049467379,-0.23262422422460274,0.48715820426334694,0.3304105707441761,0.03451709049467379,0.23262422422460274
X5,0.026678494739613146,0.18066946304592132,0.5117333725204152,0.32989678799574507,0.026678494739613146,0.18066946304592132
X191,0.024754560603623958,0.19136205598162945,0.5093009508453963,0.3176074045370839,0.024754560603623958,0.19136205598162945
X142,-0.031020583005209726,-0.22151864336697744,0.4916757651861413,0.31742348923255626,0.031020583005209726,0.22151864336697744
X153,-0.03419389163600158,-0.21673878470712368,0.48659355077616306,0.31716400145946266,0.03419389163600158,0.21673878470712368
X168,-0.031208162819199522,-0.2072994040739734,0.4935136815509712,0.31563304572759066,0.031208162819199522,0.2072994040739734
